000000	Xerox 
78028F	Adaptive Spectrum and Signal Alignment (ASSIA)
7802B1	Cisco Systems
7802B7	ShenZhen Ultra Easy Technology
7802F8	Xiaomi Communications Co
780473	Texas Instruments
780541	Queclink Wireless Solutions
780738	Z.U.K. Elzab S.A.
780AC7	Baofeng TV
780CB8	Intel 
780CF0	Cisco Systems
780F77	HangZhou Gubei Electronics Technology
7C010A	Texas Instruments
7C0187	Curtis Instruments
7C0191	Apple
7C02BC	Hansung Electronics
7C034C	Sagemcom Broadband SAS
7C03C9	Shenzhen YOUHUA Technology
7C03D8	Sagemcom Broadband SAS
7C04D0	Apple
7C0507	Pegatron 
7C051E	Rafael
7C0623	Ultra Electronics Sonar System Division
7C08D9	Shanghai B-Star Technology Co
7C092B	Bekey A/S
7C0A50	J-MEX
7C0BC6	Samsung Electronics
7C0ECE	Cisco Systems
80000B	Intel 
800010	AT&T
80006E	Apple
800184	HTC 
80029C	Gemtek Technology
8002DF	ORA
800588	Ruijie Networks
8005DF	Montage Technology Group Limited
8007A2	Esson Technology
800902	Keysight Technologies
800A06	CoMTEC
800A80	IEEE Registration Authority
800B51	Chengdu XGimi Technology
800DD7	LatticeworkInc
800E24	ForgetBox
84002D	Pegatron 
8400D2	Sony Mobile Communications Inc
8401A7	Greyware Automation ProductsInc
8404D2	Kirale Technologies SL
840B2D	Samsung Electro Mechanics
840D8E	Espressif
840F45	Shanghai GMT Digital Technologies
880118	BLT Co
8801F2	Vitec System Engineering
880355	Arcadyan Technology 
88074B	LG Electronics (Mobile Communications)
880905	MTMCommunications
880907	MKT Systemtechnik & KG
8809AF	Masimo 
880F10	Huami Information Technology
880FB6	Jabil Circuits India Pvt-EHTP unit
8C006D	Apple
8C04FF	Technicolor CH USA
8C0551	Koubachi AG
8C078C	Flow Data Inc
8C088B	Remote Solution
8C09F4	ARRIS Group
8C0C90	Ruckus Wireless
8C0CA3	Amper
8C0D76	Huawei Technologies
8C0EE3	Guangdong Oppo Mobile Telecommunications.
8C0F6F	Pegatron 
8C0F83	Angie Hospitality LLC
90004E	Hon Hai Precision Ind.
9000DB	Samsung Electronics
90013B	Sagemcom Broadband SAS
90028A	Shenzhen Shidean Legrand Electronic Products
9002A9	Zhejiang Dahua Technology
900325	Huawei Technologies
900372	Longnan Junya Digital Technology 
9003B7	Parrot SA
900628	Samsung Electronics
900917	Far-sighted mobile
900A1A	Taicang T&W Electronics
900A39	Wiio
900A3A	PSG Plastic Service
900BC1	Sprocomm Technologies
900CB4	Alinket Electronic Technology
900D66	Digimore Electronics
900DCB	ARRIS Group
900E83	Monico Monitoring
940006	jinyoung
940070	Nokia 
940149	AutoHotBox
9401C2	Samsung Electronics
94049C	Huawei Technologies
9405B6	Liling FullRiver Electronics & Technology
940937	HUMAX
940B2D	NetView Technologies(Shenzhen)
940BD5	Himax TechnologiesInc
940C6D	TP-Link Technologies
940E6B	Huawei Technologies
980074	Raisecom Technology
9800C1	GuangZhou CREATOR Technology(CHINA)
9800C6	Apple
9801A7	Apple
980284	Theobroma Systems
9802D8	IEEE Registration Authority
9803A0	ABB n.v. Power Quality Products
9803D8	Apple
98072D	Texas Instruments
980C82	Samsung Electro Mechanics
980CA5	Motorola (Wuhan) Mobility Technologies Communication
980D2E	HTC 
980EE4	Private
9C0111	Shenzhen Newabel Electronic
9C0298	Samsung Electronics
9C039E	Beijing Winchannel Software Technology
9C0473	Tecmobile (International) 
9C04EB	Apple
9C061B	Hangzhou H3C TechnologiesLimited
9C066E	Hytera Communications  Limited
9C0DAC	Tymphany HK Limited
9C0E4A	Shenzhen Vastking Electronic
A002DC	Amazon Technologies
A00363	Robert Bosch Healthcare
A0043E	Parker Hannifin Manufacturing Germany & KG
A00460	Netgear
A00627	NEXPA System
A00798	Samsung Electronics
A007B6	Advanced Technical Support
A0086F	Huawei Technologies
A0094C	CenturyLink
A009ED	Avaya Inc
A00ABF	Wieson Technologies
A00BBA	Samsung Electro Mechanics
A00CA1	SKTB SKiT
A40130	ABIsystems
A402B9	Intel 
A40450	nFore Technology
A4059E	STA Infinity LLP
A407B6	Samsung Electronics
A408EA	Murata Manufacturing
A408F5	Sagemcom Broadband SAS
A409CB	Alfred Kaercher & Co KG
A40BED	Carry Technology
A40CC3	Cisco Systems
A40DBC	Xiamen Intretech
A40E2B	Facebook Inc
A80180	IMAGO Technologies
A80600	Samsung Electronics
A80C0D	Cisco Systems
A80C63	Huawei Technologies
A80CCA	Shenzhen Sundray Technologies Company Limited
AA0000	Digital Equipment 
AA0001	Digital Equipment 
AA0002	Digital Equipment 
AA0003	Digital Equipment 
AA0004	Digital Equipment 
AC0142	Uriel Technologies SIA
AC02CA	HI Solutions
AC02CF	RW Tecnologia Industria e Comercioa
AC02EF	Comsis
AC040B	Peloton InteractiveInc
AC0481	Jiangsu Huaxing Electronics
AC0613	Senselogix
AC06C7	ServerNet S.r.l.
AC075F	Huawei Technologies
AC0A61	Labor S.r.L.
AC0D1B	LG Electronics (Mobile Communications)
AC0DFE	Ekon - myGEKKO
B000B4	Cisco Systems
B0027E	Muller Services
B00594	Liteon Technology 
B008BF	Vital Connect
B009D3	Avizia
B009DA	Ring Solutions
B40016	 Ingenico Terminals SAS
B4009C	CableWorld
B40142	GCI Science & Technology
B40418	Smartchip Integrated
B40566	SP Best 
B407F9	Samsung Electro Mechanics
B40832	TC Communications
B40AC6	DEXON Systems
B40B44	Smartisan Technology
B40B7A	Brusa Elektronik AG
B40C25	Palo Alto Networks
B40E96	Heran 
B40EDC	LG-Ericsson
B40F3B	Tenda TechnologyDongguan branch
B80018	Htel
B80305	Intel 
B80415	Bayan Audio
B805AB	zte 
B80716	vivo Mobile Communication
B808CF	Intel 
B808D7	Huawei Technologies
B8098A	Apple
B80B9D	ROPEX Industrie-Elektronik
BC0200	Stewart Audio
BC024A	HMD Global Oy
BC0543	AVM
BC0DA5	Texas Instruments
BC0F2B	Fortune Techgroup
BC0F64	Intel 
BC0FA7	Ouster
C0028D	WINSTAR Display
C005C2	ARRIS Group
C00D7E	Additech
C40006	Lipi Data Systems
C40049	Kamama
C400AD	Advantech Technology (CHINA)
C40142	MaxMedia Technology Limited
C4017C	Ruckus Wireless
C401B1	SeekTech Inc
C401CE	Presition (2000)
C40415	Netgear
C4047B	Shenzhen YOUHUA Technology
C40528	Huawei Technologies
C4072F	Huawei Technologies
C4084A	Nokia
C40880	Shenzhen UTEPO Tech
C40938	Fujian Star-NET Communication
C40ACB	Cisco Systems
C40BCB	Xiaomi Communications Co
C40E45	ACK NetworksInc.
C40F09	Hermes electronic
C80084	Cisco Systems
C80210	LG Innotek
C80258	ITW GSE ApS
C8028F	Nova Electronics (Shanghai)
C802A6	Beijing Newmine Technology
C80718	TDSi
C808E9	LG Electronics
C80AA9	Quanta Computer
C80CC8	Huawei Technologies
C80E14	AVM Audiovisuelles Marketing und Computersysteme
C80E77	Le Shi Zhi Xin Electronic Technology (Tianjin) Limited
C80E95	OmniLync
CC0080	Bettini SRL
CC03D9	Cisco Meraki
CC03FA	Technicolor CH USA
CC047C	G-WAY Microwave
CC04B4	Select Comfort
CC051B	Samsung Electronics
CC0677	Fiberhome Telecommunication Technologies
CC07AB	Samsung Electronics
CC07E4	Lenovo Mobile Communication Technology
CC088D	Apple
CC08E0	Apple
CC09C8	Imaqliq
CC0CDA	Miljovakt AS
CC0DEC	Cisco SPVTG
D0034B	Apple
D00401	Motorola Mobility LLCa Lenovo Company
D00492	Fiberhome Telecommunication Technologies
D0052A	Arcadyan 
D00790	Texas Instruments
D007CA	Juniper Networks
D00AAB	Yokogawa Digital Computer 
D00EA4	Porsche Cars North America
D00ED9	Taicang T&W Electronics
D00F6D	T&W Electronics Company
D4000D	Phoenix Broadband TechnologiesLLC.
D40057	MC Technologies
D40129	Broadcom
D4016D	TP-Link Technologies
D4024A	Delphian Systems LLC
D404CD	ARRIS Group
D404FF	Juniper Networks
D40598	ARRIS Group
D40AA9	ARRIS Group
D40B1A	HTC 
D40BB9	Solid Semecs bv.
D40FB2	Applied Micro Electronics AME bv
D8004D	Apple
D8052E	Skyviia 
D806D1	Honeywell Fire System (Shanghai) Co.
D80831	Samsung Electronics
D808F5	Arcadia Networks 
D809C3	Cercacor Labs
D80CCF	C.G.V. S.A.S.
D80DE3	FXI Technologies AS
D80F99	Hon Hai Precision Ind.
DC0077	TP-Link Technologies
DC0265	Meditech Kft
DC028E	zte 
DC052F	National Products
DC0575	Siemens Energy Automation
DC05ED	Nabtesco  
DC07C1	HangZhou QiYang Technology
DC0856	Alcatel-Lucent Enterprise
DC0914	Talk-A-Phone
DC094C	Huawei Technologies
DC0B1A	ADB Broadband Italia
DC0B34	LG Electronics (Mobile Communications)
DC0C2D	Weifang Goertek Electronics
DC0C5C	Apple
DC0D30	Shenzhen Feasycom Technology
DC0EA1	Compal Information (Kunshan)
E00370	ShenZhen Continental Wireless Technology
E005C5	TP-Link Technologies
E006E6	Hon Hai Precision Ind.
E0071B	Hewlett Packard Enterprise
E00B28	Inovonics
E00C7F	Nintendo
E00DB9	Cree
E00EDA	Cisco Systems
E4029B	Intel 
E40439	TomTom Software
E40EEE	Huawei Technologies
E80036	Befs Co.
E8039A	Samsung Electronics
E8040B	Apple
E80410	Private
E80462	Cisco Systems
E804F3	Throughtek
E8056D	Nortel Networks
E80688	Apple
E80734	Champion Optical Network EngineeringLLC
E807BF	Shenzhen Boomtech Industry
E8088B	Huawei Technologies
E80945	Integrated Device Technology (Malaysia) Sdn. Bhd.
E80959	Guoguang Electric
E80B13	Akib Systems TaiwanInc
E80C38	Daeyoung Information System
E80C75	Syncbak
EC0133	Trinus Systems
EC01E2	Foxconn Interconnect Technology
EC01EE	Guangdong Oppo Mobile Telecommunications.
EC0441	ShenZhen TIGO Semiconductor
EC086B	TP-Link Technologies
EC0D9A	Mellanox Technologies
EC0EC4	Hon Hai Precision Ind.
EC0ED6	Itech Instruments SAS
F0007F	Janz - Contadores de EnergiaSA
F0022B	Chrontel
F00248	SmarteBuilding
F0038C	Azurewave Technologies
F00786	Shandong Bittel Electronics
F008F1	Samsung Electronics
F00D5C	JinQianMao  Technology
F00E1D	Megafone Limited
F00FEC	Huawei Technologies
F40304	Google
F40321	BeNeXt B.V.
F4032F	Reduxio Systems
F40343	Hewlett Packard Enterprise
F4044C	ValenceTech Limited
F40669	Intel 
F4068D	devolo AG
F406A5	Hangzhou Bianfeng Networking Technology
F409D8	Samsung Electro-Mechanics(Thailand)
F40A4A	IndUSNET Communication Technology
F40B93	BlackBerry RTS
F40E11	IEEE Registration Authority
F40E22	Samsung Electronics
F40E83	ARRIS Group
F40F1B	Cisco Systems
F40F24	Apple
F40F9B	Wavelink
F80113	Huawei Technologies
F80278	IEEE Registration Authority
F80332	Khomp
F80377	Apple
F8042E	Samsung Electro-Mechanics(Thailand)
F8051C	DRS Imaging and Targeting Solutions
F80BBE	ARRIS Group
F80BCB	Cisco Systems
F80BD0	Datang Telecom Communication terminal (Tianjin)
F80CF3	LG Electronics (Mobile Communications)
F80D43	Hon Hai Precision Ind.
F80D60	Canon
F80DEA	ZyCast Technology
F80F41	Wistron Infocomm (Zhongshan) 
F80F84	Natural Security SAS
FC0012	Toshiba Samsung Storage Technolgoy Korea  
FC017C	Hon Hai Precision Ind.
FC019E	Vievu
FC01CD	Fundacion Tekniker
FC0647	Cortland ResearchLLC
FC06ED	M2Motive Technology
FC07A0	LRE Medical
FC084A	Fujitsu Limited
FC0877	Prentke Romich Company
FC09D8	ACTEON Group
FC09F6	Guangdong Tonze Electric
FC0A81	Extreme Networks
FC0F4B	Texas Instruments
FC0FE6	Sony Interactive Entertainment
001000	Cable Television Laboratories
001001	Citel
001002	Actia
001003	Imatron
001004	THE Brantley Coile CompanyInc
001005	UEC Commercial
001006	Thales Contact Solutions
001007	Cisco Systems
001008	Vienna Systems 
001009	Horanet
00100A	Williams Communications Group
00100B	Cisco Systems
00100C	ITO
00100D	Cisco Systems
00100E	Micro Linear Coporation
00100F	Industrial CPU Systems
001010	Initio 
001011	Cisco Systems
001012	Processor Systems (I) PVT
001013	Kontron America
001014	Cisco Systems
001015	OOmon
001016	T.Sqware
001017	Bosch Access Systems
001018	Broadcom
001019	SIRONA DENTAL SysTEMS & KG
00101A	PictureTel.
00101B	Cornet Technology
00101C	OHM Technologies IntlLLC
00101D	Winbond Electronics.
00101E	Matsushita Electronic Instruments.
00101F	Cisco Systems
001020	Hand Held Products Inc
001021	Encanto Networks
001022	SatCom Media 
001023	Network Equipment Technologies
001024	Nagoya Electric Works
001025	GrayhillInc
001026	Accelerated Networks
001027	L-3 Communications East
001028	Computer Technica
001029	Cisco Systems
00102A	ZF Microsystems
00102B	Umax Data Systems
00102C	Lasat Networks A/S
00102D	Hitachi Software Engineering
00102E	Network Systems & Technologies PVT.
00102F	Cisco Systems
001030	EION
001031	Objective Communications
001032	Alta Technology
001033	Accesslan Communications
001034	GNP Computers
001035	Elitegroup Computer Systems
001036	Inter-TEL Integrated Systems
001037	CYQ've Technology
001038	Micro Research Institute
001039	Vectron Systems AG
00103A	Diamond Network Tech
00103B	Hippi Networking Forum
00103C	IC Ensemble
00103D	Phasecom
00103E	Netschools 
00103F	Tollgrade Communications
001040	Intermec 
001041	Bristol Babcock
001042	Alacritech
001043	A2 
001044	InnoLabs 
001045	Nortel Networks
001046	Alcorn Mcbride
001047	Echo Eletric
001048	Htrc Automation
001049	ShoreTelInc
00104A	The Parvus 
00104B	3Com 
00104C	Teledyne LeCroyInc
00104D	Surtec Industries
00104E	Ceologic
00104F	Oracle  
001050	Rion
001051	Cmicro 
001052	Mettler-Toledo (Albstadt)
001053	Computer Technology.
001054	Cisco Systems
001055	Fujitsu Microelectronics
001056	Sodick
001057	Rebel.com
001058	ArrowPoint Communications
001059	Diablo Research LLC
00105A	3Com 
00105B	NET Insight AB
00105C	Quantum Designs (H.K.)
00105D	Draeger Medical
00105E	Spirent plcService Assurance Broadband
00105F	Zodiac Data Systems
001060	Billionton Systems
001061	Hostlink.
001062	NX ServerIlnc.
001063	Starguide Digital Networks
001064	DnpgLLC
001065	Radyne 
001066	Advanced Control Systems
001067	Ericsson
001068	Comos Telecom
001069	Helioss Communications
00106A	Digital Microwave 
00106B	Sonus Networks
00106C	EDNT
00106D	Axxcelera Broadband Wireless
00106E	Tadiran CoM.
00106F	Trenton Technology
001070	Caradon Trend
001071	Advanet
001072	GVN Technologies
001073	Technobox
001074	Aten International
001075	Segate Technology LLC
001076	EUREM
001077	SAF Drive Systems
001078	Nuera Communications
001079	Cisco Systems
00107A	AmbiCom
00107B	Cisco Systems
00107C	P-CoM
00107D	Aurora Communications
00107E	BACHMANN ELECTRONIC
00107F	Crestron Electronics
001080	Metawave Communications
001081	DPS
001082	JNA Telecommunications Limited
001083	Hewlett-Packard Company
001084	K-BOT Communications
001085	Polaris Communications
001086	ATTO Technology
001087	Xstreamis PLC
001088	American Networks
001089	WebSonic
00108A	TeraLogic
00108B	Laseranimation Sollinger
00108C	Fujitsu Services
00108D	Johnson Controls
00108E	HUGH SYMONS CoNCEPT Technologies
00108F	Raptor Systems
001090	Cimetrics
001091	NO Wires Needed BV
001092	Netcore
001093	CMS Computers
001094	Performance Analysis BroadbandSpirent plc
001095	Thomson
001096	Tracewell Systems
001097	WinNet Metropolitan Communications Systems
001098	Starnet Technologies
001099	InnoMedia
00109A	Netline
00109B	Emulex 
00109C	M-System
00109D	Clarinet Systems
00109E	Aware
00109F	Pavo
0010A0	Innovex Technologies
0010A1	Kendin Semiconductor
0010A2	TNS
0010A3	Omnitronix
0010A4	Xircom
0010A5	Oxford Instruments
0010A6	Cisco Systems
0010A7	Unex Technology 
0010A8	Reliance Computer.
0010A9	Adhoc Technologies
0010AA	MEDIA4
0010AB	Koito Electric Industries
0010AC	Imci Technologies
0010AD	Softronics USB
0010AE	Shinko Electric Industries
0010AF	TAC Systems
0010B0	Meridian Technology.
0010B1	FOR-A
0010B2	Coactive Aesthetics
0010B3	Nokia Multimedia Terminals
0010B4	Atmosphere Networks
0010B5	Accton Technology
0010B6	Entrata Communications.
0010B7	Coyote TechnologiesLLC
0010B8	Ishigaki Computer System
0010B9	Maxtor.
0010BA	Martinho-Davis Systems
0010BB	Data & Information Technology
0010BC	Aastra Telecom
0010BD	THE Telecommunication Technology Committee (TTC)
0010BE	March Networks 
0010BF	InterAir Wireless
0010C0	ARMA
0010C1	OI Electric
0010C2	Willnet
0010C3	CSI-Control Systems
0010C4	Media Global Links
0010C5	Protocol Technologies
0010C6	Universal Global Scientific Industrial
0010C7	Data Transmission Network
0010C8	Communications Electronics Security Group
0010C9	Mitsubishi Electronics Logistic Support
0010CA	Telco Systems
0010CB	Facit K.K.
0010CC	CLP CoMPUTER LOGISTIK PLANUNG
0010CD	Interface Concept
0010CE	Volamp
0010CF	Fiberlane Communications
0010D0	Witcom
0010D1	Top Layer Networks
0010D2	Nitto Tsushinki
0010D3	Grips Electronic
0010D4	Storage Computer 
0010D5	Imasde CanariasS.A.
0010D6	Exelis
0010D7	Argosy Research
0010D8	Calista
0010D9	IBM JapanFujisawa MT+D
0010DA	Kollmorgen
0010DB	Juniper Networks
0010DC	Micro-Star International
0010DD	Enable Semiconductor
0010DE	International Datacasting 
0010DF	Rise Computer
0010E0	Oracle  
0010E1	S.I. Tech
0010E2	ArrayComm
0010E3	Hewlett-Packard Company
0010E4	NSI 
0010E5	Solectron Texas
0010E6	Applied Intelligent Systems
0010E7	Breezecom
0010E8	TelocityIncorporated
0010E9	Raidtec
0010EA	Adept Technology
0010EB	Selsius Systems
0010EC	RpcgLLC
0010ED	Sundance Technology
0010EE	CTI Products
0010EF	Dbtel Incorporated
0010F0	RITTAL-WERK RUDOLF LOH &
0010F1	I-O 
0010F2	Antec
0010F3	Nexcom International
0010F4	Vertical Communications
0010F5	Amherst Systems
0010F6	Cisco Systems
0010F7	IRIICHI TECHNOLOGIES
0010F8	Texio Technology 
0010F9	Unique Systems
0010FA	Apple
0010FB	Zida Technologies Limited
0010FC	Broadband Networks
0010FD	Cocom A/S
0010FE	Digital Equipment 
0010FF	Cisco Systems
001100	Schneider Electric
001101	CET Technologies Pte
001102	Aurora Multimedia.
001103	kawamura electric
001104	Telexy
001105	Sunplus Technology
001106	Siemens NV (Belgium)
001107	RGB Networks
001108	Orbital Data 
001109	Micro-Star International
00110A	Hewlett-Packard Company
00110B	Franklin Technology Systems
00110C	Atmark Techno
00110D	SANBlaze Technology
00110E	Tsurusaki Sealand Transportation
00110F	netplatInc.
001110	Maxanna Technology
001111	Intel 
001112	Honeywell CMSS
001113	Fraunhofer FOKUS
001114	EverFocus Electronics.
001115	EPIN Technologies
001116	Coteau Vert
001117	Cesnet
001118	BLX IC Design.
001119	Solteras
00111A	ARRIS Group
00111B	Targa Systems Div L-3 Communications
00111C	Pleora Technologies
00111D	Hectrix Limited
00111E	ETHERNET Powerlink Standarization Group (EPSG)
00111F	Doremi Labs
001120	Cisco Systems
001121	Cisco Systems
001122	CIMSYS Inc
001123	Appointech
001124	Apple
001125	IBM
001126	Venstar
001127	TASIInc
001128	Streamit
001129	Paradise Datacom
00112A	Niko NV
00112B	NetModule AG
00112C	IZT
00112D	iPulse Systems
00112E	Ceicom
00112F	ASUSTek Computer
001130	Allied Telesis (Hong Kong)
001131	Unatech.
001132	Synology Incorporated
001133	Siemens AG Austria
001134	MediaCell
001135	Grandeye
001136	Goodrich Sensor Systems
001137	Aichi Electric
001138	Taishin
001139	STOEBER ANTRIEBSTECHNIK + KG.
00113A	Shinboram
00113B	Micronet Communications
00113C	Micronas
00113D	KN Soltec
00113E	JL 
00113F	Alcatel DI
001140	Nanometrics
001141	GoodMan 
001142	e-SMARTCOM 
001143	Dell
001144	Assurance Technology
001145	ValuePoint Networks
001146	Telecard-Pribor
001147	Secom-IndustryLtd
001148	Prolon Control Systems
001149	Proliphix
00114A	KAYABA IndUSTRY Co.Ltd
00114B	Francotyp-Postalia
00114C	caffeina applied research
00114D	Atsumi Electric
00114E	690885 Ontario
00114F	US Digital TelevisionInc
001150	Belkin 
001151	Mykotronx
001152	Eidsvoll Electronics AS
001153	Trident Tek
001154	Webpro Technologies
001155	Sevis Systems
001156	Pharos Systems NZ
001157	Oki Electric Industry
001158	Nortel Networks
001159	Matisse Networks Inc
00115A	Ivoclar Vivadent AG
00115B	Elitegroup Computer Systems
00115C	Cisco Systems
00115D	Cisco Systems
00115E	ProMinent Dosiertechnik
00115F	ITX Security
001160	ARTDIO Company
001161	NetStreamsLLC
001162	Star Micronics
001163	System SPA Dept. Electronics
001164	ACARD Technology.
001165	ZNYX Networks
001166	Taelim Electronics
001167	Integrated System Solution.
001168	HomeLogic LLC
001169	EMS Satcom
00116A	Domo
00116B	Digital Data Communications Asia
00116C	Nanwang Multimedia
00116D	American Time and Signal
00116E	Peplink International
00116F	Netforyou
001170	GSC SRL
001171	DEXTER Communications
001172	Cotron 
001173	SMART Storage Systems
001174	 Mojo Networks
001175	Intel 
001176	Intellambda Systems
001177	Coaxial Networks
001178	Chiron Technology
001179	Singular Technology
00117A	Singim International.
00117B	B?chi  Labortechnik AG
00117C	e-zy.net
00117D	ZMD America
00117E	Midmark
00117F	Neotune Information Technology.Ltd
001180	ARRIS Group
001181	InterEnergyLtd
001182	IMI Norgren
001183	Datalogic ADC
001184	Humo Laboratory
001185	Hewlett-Packard Company
001186	Prime Systems
001187	Category SolutionsInc
001188	Enterasys
001189	Aerotech Inc
00118A	Viewtran Technology Limited
00118B	Alcatel-Lucent Enterprise
00118C	Missouri Department Of Transportation
00118D	Hanchang System.
00118E	Halytech Mace
00118F	Eutech Instruments PTE.
001190	Digital Design 
001191	CTS-Clima Temperatur Systeme
001192	Cisco Systems
001193	Cisco Systems
001194	Chi Mei Communication Systems
001195	D-Link 
001196	Actuality Systems
001197	Monitoring Technologies Limited
001198	Prism Media Products Limited
001199	2wcom Systems
00119A	Alkeria srl
00119B	Telesynergy Research
00119C	EP&T Energy
00119D	Diginfo Technology 
00119E	Solectron Brazil
00119F	Nokia Danmark A/S
0011A0	Vtech Engineering Canada
0011A1	Vision Netware
0011A2	Manufacturing Technology Inc
0011A3	LanReady Technologies
0011A4	JStream Technologies
0011A5	Fortuna Electronic.
0011A6	Sypixx Networks
0011A7	Infilco Degremont
0011A8	Quest Technologies
0011A9	MOIMSTONE
0011AA	Uniclass Technology
0011AB	Trustable Technology
0011AC	Simtec Electronics
0011AD	Shanghai Ruijie Technology
0011AE	ARRIS Group
0011AF	Medialink-iInc
0011B0	Fortelink
0011B1	BlueExpert Technology.
0011B2	2001 Technology
0011B3	Yoshimiya
0011B4	Westermo Teleindustri AB
0011B5	Shenzhen Powercom
0011B6	Open Systems International
0011B7	Octalix B.V.
0011B8	Liebherr - Elektronik
0011B9	Inner Range Pty.
0011BA	Elexol Pty
0011BB	Cisco Systems
0011BC	Cisco Systems
0011BD	Bombardier Transportation
0011BE	AGP Telecom
0011BF	AESYS S.p.A.
0011C0	Aday Technology Inc
0011C1	4P Mobile Data Processing
0011C2	United Fiber Optic Communication
0011C3	Transceiving System Technology 
0011C4	Terminales de Telecomunicacion TerrestreS.L.
0011C5	TEN Technology
0011C6	Seagate Technology
0011C7	Raymarine UK
0011C8	Powercom
0011C9	MTT 
0011CA	Long Range Systems
0011CB	Jacobsons AB
0011CC	Guangzhou Jinpeng Group
0011CD	Axsun Technologies
0011CE	Ubisense Limited
0011CF	Thrane & Thrane A/S
0011D0	Tandberg Data ASA
0011D1	Soft Imaging System
0011D2	Perception Digital
0011D3	NextGenTel Holding ASA
0011D4	NetEnrichInc
0011D5	Hangzhou Sunyard System Engineering
0011D6	HandEra
0011D7	eWerks Inc
0011D8	ASUSTek Computer
0011D9	TiVo
0011DA	Vivaas Technology
0011DB	Land-Cellular 
0011DC	Glunz & Jensen
0011DD	FROMUS TEC.
0011DE	Eurilogic
0011DF	Current Energy
0011E0	U-MEDIA Communications
0011E1	Arcelik A.S
0011E2	Hua Jung Components
0011E3	Thomson
0011E4	Danelec Electronics A/S
0011E5	KCodes 
0011E6	Scientific Atlanta
0011E7	WORLDSAT - Texas de France
0011E8	Tixi.com
0011E9	Starnex
0011EA	IWICS
0011EB	Innovative Integration
0011EC	Avix
0011ED	802 Global
0011EE	Estari
0011EF	Conitec Datensysteme
0011F0	Wideful Limited
0011F1	QinetiQ
0011F2	Institute Of Network Technologies
0011F3	NeoMedia Europe AG
0011F4	woori-net
0011F5	Askey Computer
0011F6	Asia Pacific Microsystems
0011F7	Shenzhen Forward Industry
0011F8	AIRAYA
0011F9	Nortel Networks
0011FA	Rane 
0011FB	Heidelberg Engineering
0011FC	HARTING Electronics
0011FD	Korg
0011FE	Keiyo System Research
0011FF	Digitro Tecnologiaa
001200	Cisco Systems
001201	Cisco Systems
001202	Decrane Aerospace - Audio International
001203	ActivNetworks
001204	u10 Networks
001205	Terrasat Communications
001206	iQuest (NZ)
001207	Head Strong International Limited
001208	Gantner Instruments
001209	Fastrax
00120A	Emerson Climate Technologies
00120B	Chinasys Technologies Limited
00120C	CE-Infosys Pte
00120D	Advanced Telecommunication Technologies
00120E	AboCom
00120F	IEEE 802.3
001210	WideRay
001211	Protechna Herbst & KG
001212	PLUS  
001213	Metrohm AG
001214	Koenig & Bauer AG
001215	iStor Networks
001216	ICP Internet Communication Payment AG
001217	Cisco-Linksys LLC
001218	ARUZE 
001219	General Datacomm LLC
00121A	Techno Soft Systemnics
00121B	Sound DevicesLLC
00121C	Parrot SA
00121D	Netfabric 
00121E	Juniper Networks
00121F	Harding Instruments
001220	Cadco Systems
001221	B.Braun Melsungen AG
001222	Skardin (UK)
001223	Pixim
001224	NexQL 
001225	ARRIS Group
001226	Japan Direx 
001227	Franklin Electric
001228	Data
001229	BroadEasy Technologies
00122A	VTech Telecommunications
00122B	Virbiage Pty
00122C	Soenen Controls N.V.
00122D	SiNett 
00122E	Signal Technology - AISD
00122F	Sanei Electric
001230	Picaso Infocommunication
001231	Motion Control Systems
001232	LeWiz Communications
001233	JRC TOKKI
001234	Camille Bauer
001235	Andrew 
001236	ConSentry Networks
001237	Texas Instruments
001238	SetaBox Technology
001239	S Net Systems
00123A	Posystech
00123B	KeRo Systems ApS
00123C	Second Rule LLC
00123D	GES Co
00123E	ERUNE technology
00123F	Dell
001240	Amoi Electronics
001241	a2i marketing center
001242	Millennial Net
001243	Cisco Systems
001244	Cisco Systems
001245	Zellweger Analytics
001246	T.O.M Technology.
001247	Samsung Electronics
001248	Dell EMC
001249	Delta Elettronica S.p.A.
00124A	Dedicated Devices
00124B	Texas Instruments
00124C	BBWM 
00124D	Inducon BV
00124E	XAC Automation.
00124F	Pentair Thermal Management
001250	Tokyo Aircaft Instrument
001251	Silink
001252	CitronixLLC
001253	AudioDev AB
001254	Spectra Technologies Holdings Company
001255	NetEffect Incorporated
001256	LG Information & Comm.
001257	LeapComm Communication Technologies
001258	Activis Polska
001259	Thermo Electron Karlsruhe
00125A	Microsoft 
00125B	Kaimei Electroni
00125C	Green Hills Software
00125D	CyberNet
00125E	Caen
00125F	AWIND
001260	Stanton MagneticsInc.
001261	AdaptixInc
001262	Nokia Danmark A/S
001263	Data Voice Technologies
001264	daum electronic
001265	Enerdyne Technologies
001266	Swisscom Hospitality Services SA
001267	Panasonic 
001268	IPS d.o.o.
001269	Value Electronics
00126A	OPTOELECTRONICS
00126B	Ascalade Communications Limited
00126C	Visonic Technologies 1993
00126D	University Of CaliforniaBerkeley
00126E	Seidel Elektronik Nfg.KG
00126F	Rayson Technology
001270	NGES Denro Systems
001271	Measurement Computing
001272	Redux Communications
001273	Stoke Inc
001274	NIT lab
001275	Sentilla 
001276	CG Power Systems Ireland Limited
001277	Korenix Technologies
001278	International Bar Code
001279	Hewlett-Packard Company
